gene_name,gene_code,predicted_cluster
CCDC115,ENSG00000136710,-1
IMP4,ENSG00000136718,51
MZT2A,ENSG00000173272,41
MCM6,ENSG00000076003,32
DARS,ENSG00000115866,18
ZEB2,ENSG00000169554,-1
ORC4,ENSG00000115947,-1
MBD5,ENSG00000204406,-1
EPC2,ENSG00000135999,45
NMI,ENSG00000123609,-1
RIF1,ENSG00000080345,19
ARL5A,ENSG00000162980,-1
PRPF40A,ENSG00000196504,27
ARL6IP6,ENSG00000177917,19
BAZ2B,ENSG00000123636,42
PSMD14,ENSG00000115233,8
CERS6,ENSG00000172292,39
SPC25,ENSG00000152253,7
SSB,ENSG00000138385,36
METTL5,ENSG00000138382,-1
GAD1,ENSG00000128683,41
METTL8,ENSG00000123600,-1
OLA1,ENSG00000138430,27
CIR1,ENSG00000138433,42
ATP5MC3,ENSG00000154518,35
HNRNPA3,ENSG00000170144,32
AGPS,ENSG00000018510,-1
PRKRA,ENSG00000180228,-1
NCKAP1,ENSG00000061676,-1
ZC3H15,ENSG00000065548,-1
TFPI,ENSG00000003436,42
WDR75,ENSG00000115368,-1
SLC40A1,ENSG00000138449,-1
ORMDL1,ENSG00000128699,-1
C2orf88,ENSG00000187699,-1
NAB1,ENSG00000138386,37
NABP1,ENSG00000173559,-1
SLC39A10,ENSG00000196950,-1
GTF3C3,ENSG00000119041,-1
SF3B1,ENSG00000115524,31
COQ10B,ENSG00000115520,43
HSPD1,ENSG00000144381,35
HSPE1,ENSG00000115541,35
MOB4,ENSG00000115540,-1
SATB2,ENSG00000119042,-1
BZW1,ENSG00000082153,-1
NDUFB3,ENSG00000119013,-1
CFLAR,ENSG00000003402,-1
SUMO1,ENSG00000116030,-1
NOP58,ENSG00000055044,36
WDR12,ENSG00000138442,36
INO80D,ENSG00000114933,37
EEF1B2,ENSG00000114942,5
METTL21A,ENSG00000144401,-1
FZD5,ENSG00000163251,-1
IDH1,ENSG00000138413,15
PIKFYVE,ENSG00000115020,-1
ATIC,ENSG00000138363,36
XRCC5,ENSG00000079246,-1
RPL37A,ENSG00000197756,5
IGFBP2,ENSG00000115457,-1
ARPC2,ENSG00000163466,22
AAMP,ENSG00000127837,-1
PNKD,ENSG00000127838,30
USP37,ENSG00000135913,19
CNOT9,ENSG00000144580,-1
GMPPA,ENSG00000144591,-1
ASIC4,ENSG00000072182,-1
FARSB,ENSG00000116120,27
ACSL3,ENSG00000123983,46
MRPL44,ENSG00000135900,-1
CUL3,ENSG00000036257,-1
MFF,ENSG00000168958,39
CAB39,ENSG00000135932,26
NCL,ENSG00000115053,35
PTMA,ENSG00000187514,35
DIS3L2,ENSG00000144535,48
EIF4E2,ENSG00000135930,31
GIGYF2,ENSG00000204120,39
DGKD,ENSG00000077044,-1
HJURP,ENSG00000123485,7
COPS8,ENSG00000198612,-1
LRRFIP1,ENSG00000124831,39
HES6,ENSG00000144485,36
COPS9,ENSG00000172428,-1
PPP1R7,ENSG00000115685,-1
DTYMK,ENSG00000168393,36
ING5,ENSG00000168395,-1
TRNT1,ENSG00000072756,-1
BHLHE40,ENSG00000134107,-1
THUMPD3-AS1,ENSG00000206573,6
SETD5,ENSG00000168137,-1
TADA3,ENSG00000171148,-1
ARPC4,ENSG00000241553,-1
TTLL3,ENSG00000214021,-1
EMC3,ENSG00000125037,43
BRK1,ENSG00000254999,-1
SEC13,ENSG00000157020,-1
TAMM41,ENSG00000144559,-1
TSEN2,ENSG00000154743,50
RPL32,ENSG00000144713,5
CHCHD4,ENSG00000163528,49
XPC,ENSG00000154767,-1
LSM3,ENSG00000170860,-1
CCDC174,ENSG00000154781,22
MRPS25,ENSG00000131368,-1
SH3BP5,ENSG00000131370,-1
DPH3,ENSG00000154813,24
RAB5A,ENSG00000144566,29
UBE2E1,ENSG00000170142,-1
RPL15,ENSG00000174748,5
NGLY1,ENSG00000151092,-1
CMC1,ENSG00000187118,39
STT3B,ENSG00000163527,-1
CMTM6,ENSG00000091317,-1
DYNC1LI1,ENSG00000144635,-1
CNOT10,ENSG00000182973,-1
TRIM71,ENSG00000206557,44
GLB1,ENSG00000170266,40
EPM2AIP1,ENSG00000178567,6
MLH1,ENSG00000076242,-1
GOLGA4,ENSG00000144674,-1
RPSA,ENSG00000168028,5
EIF1B,ENSG00000114784,-1
RPL14,ENSG00000188846,5
CTNNB1,ENSG00000168036,46
SEC22C,ENSG00000093183,-1
SS18L2,ENSG00000008324,-1
HIGD1A,ENSG00000181061,13
ABHD5,ENSG00000011198,11
KIAA1143,ENSG00000163807,-1
KIF15,ENSG00000163808,7
EXOSC7,ENSG00000075914,-1
LARS2,ENSG00000011376,44
SACM1L,ENSG00000211456,-1
SETD2,ENSG00000181555,43
SCAP,ENSG00000114650,-1
SMARCC1,ENSG00000173473,36
DHX30,ENSG00000132153,-1
NME6,ENSG00000172113,-1
TMA7,ENSG00000232112,13
ATRIP,ENSG00000164053,-1
SHISA5,ENSG00000164054,43
UQCRC1,ENSG00000010256,51
IP6K2,ENSG00000068745,-1
PRKAR2A,ENSG00000114302,-1
ARIH2,ENSG00000177479,-1
NDUFAF3,ENSG00000178057,-1
IMPDH2,ENSG00000178035,-1
QARS,ENSG00000172053,-1
APEH,ENSG00000164062,-1
MON1A,ENSG00000164077,-1
GNAI2,ENSG00000114353,14
RASSF1,ENSG00000068028,-1
NPRL2,ENSG00000114388,39
CISH,ENSG00000114737,42
MANF,ENSG00000145050,3
TEX264,ENSG00000164081,-1
RRP9,ENSG00000114767,36
ABHD14B,ENSG00000114779,-1
ACY1,ENSG00000243989,-1
RPL29,ENSG00000162244,5
ALAS1,ENSG00000023330,-1
WDR82,ENSG00000164091,-1
BAP1,ENSG00000163930,-1
NT5DC2,ENSG00000168268,-1
SMIM4,ENSG00000168273,24
PBRM1,ENSG00000163939,-1
GNL3,ENSG00000163938,-1
SPCS1,ENSG00000114902,-1
TKT,ENSG00000163931,32
ACTR8,ENSG00000113812,39
SELENOK,ENSG00000113811,-1
APPL1,ENSG00000157500,-1
ARF4,ENSG00000168374,29
RPP14,ENSG00000163684,39
THOC7,ENSG00000163634,39
ATXN7,ENSG00000163635,47
PSMD6,ENSG00000163636,8
UBA3,ENSG00000144744,-1
ARL6IP5,ENSG00000144746,42
MITF,ENSG00000187098,-1
PPP4R2,ENSG00000163605,-1
PROS1,ENSG00000184500,-1
MTRNR2L12,ENSG00000269028,1
CMSS1,ENSG00000184220,27
TBC1D23,ENSG00000036054,11
TFG,ENSG00000114354,-1
TRMT10C,ENSG00000174173,-1
PCNP,ENSG00000081154,-1
RPL24,ENSG00000114391,0
BBX,ENSG00000114439,22
CD47,ENSG00000196776,10
CIP2A,ENSG00000163507,-1
